Handle;Title;Description;Created;Updated;Vendor;Product Type;Tags;Max price;Min price;Variant 1;Variant 1 price;Variant 1 price to compare;Variant 1 Featured Image URL;Variant 2;Variant 2 price;Variant 2 price to compare;Variant 2 Featured Image URL;Variant 3;Variant 3 price;Variant 3 price to compare;Variant 3 Featured Image URL;Variant 4;Variant 4 price;Variant 4 price to compare;Variant 4 Featured Image URL;Variant 5;Variant 5 price;Variant 5 price to compare;Variant 5 Featured Image URL;Image 1 URL;Image 2 URL;Image 3 URL;Image 4 URL;Image 5 URL;Image 6 URL;Image 7 URL;Image 8 URL;Image 9 URL;Image 10 URL;Option 1;Option 2;Option 3
ezviz-c1c-b-smart-wi-fi-indoor-camera;Ezviz C1C-B Smart Wi-Fi Indoor Camera;"
Introducing 2021 All New EZVIZ C1C-B Indoor Camera


Keep your home fully secured.


The C1C-B, a compact WiFi camera from EZVIZ, records sweet moments, protects your family, and keeps you updated on what‘s happening at home when you’re away. It’s small enough to be placed almost anywhere, and its simple DIY installation design lets you easily configure this camera for the best possible performance.



Clarity as always.


This camera performs brilliantly regardless of hourly changes in light and shadow. Advanced, built-in infrared LEDs ensure a 12-meter full-HD night vision range, helping you capture incredible low-light shots without creating light pollution.


Always in the know.

No more staring at the screen to look through everything and every moment – we’re here to take the shift for you. You can rest assured with the help of the EZVIZ App, as automatic alerts will be sent to you on any suspicious activity captured on camera.



User-friendly audio alerts.


This camera also comes with three audio alert modes when motion is detected – silent, short beep, and siren. Want to hear your visitors while you are in another room? Set the camera on siren mode so you will hear the alert loud and clear.



Records only when you want it to.


The C1C-B camera provides a flexible option for you to record – or not – whenever you think it’s necessary. You can manually activate the Sleep Mode with a tap on your phone, at which you won’t receive notifications and real-time recording will pause.



Two-way audio.


With the C1C-B, you can talk to your child, pet or other family members right on your phone while you’re away.


Compact and thoughtful design.

A magnetic base and clever mounting kit make installation a breeze. Mount this camera by attaching it to any magnetic surface, or use the kit to attach it to a wall or ceiling – and you are all set. Its upgraded positioning stem on the base also makes it more flexible – so you get the exact viewing angle that you need.



H.265 video technology.


The camera features the advanced H.265 video compression technology, achieving better video quality using only half the bandwidth and half the storage space of the previous video compression standard (H.264).



We protect your data and privacy.


Protecting your data and privacy is our highest priority. Data transmission between the camera and the EZVIZ Cloud is encrypted from end to end. Only you have the keys to decrypt your data. To get an extra layer of privacy protection, you can always enable the camera’s sleep mode on the EZVIZ App.




Security at your fingertips.



With the EZVIZ App, you can capture, save, protect, and share what’s valuable to you.


Storage of footage
EZVIZ cameras can hold a MicroSD card (up to 256 GB) for local continuous storage upon each detection, or alternatively you can sign up to our Cloud Storage system (subject to subscription costs).
Works with EZVIZ Alarm Systems
Link to a specific EZVIZ alarm sensor via the app to ensure footage begins straight away when a sensor is triggered, helping capture the whole event from all angles.
";2022/01/08;2022/12/15;EzViz;Camera;"Camera
Ezviz
Indoor
Smart Home
Wifi
Works with Alexa
Works with Google Home";699;699;Default Title;699;;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/c1c-b.png?v=1641642056;;;;;;;;;;Title (Default Title);;
eachen-wifi-temperature-controller-programmable-room-thermostattuya-smartlife-white16a;EACHEN WiFi Temperature Controller Programmable Room Thermostat(Tuya/SmartLife) -White16A;"Product Description:It has been developed to control electric underfloor heating  system. These units are designed for use in commercial, industrial, civil and domestic properties.The electric heating thermostat tells the electric underfloor heating /or other electric heating system when to turn on and off as temperatures in the house or individual rooms fluctuate, and you can cut your heating bills significantly by installing our programmable thermostat. This thermostat will provide uniform and comfortable temperature control throughout every room in your property.Features:  Interated with Amazon Echo,Google Home,Tmall Genie,IFTTT for voice control. WiFi control temperature controller, for android and for ios WIFI control.Remote controlled by mobile APP or computer (WIFI), manage your home temp. even when you are in any place around the world at any time. 5+2 six periods programmable maximize comfort and economy.Program schedules guarantee the comfortable temperature, more choices, more flexible. Large LCD temperature controller is easy and convenient to read—even in the dark. Button Lock Function: Full lock or half lock (except power button ), prevent mistakenly touching by young children. Timer Function?provides two programmed heating periods each day, you can set the “ON” time, “OFF” time and the temperature for each of these daily heating periodsInstallation:Installation mode: flush mountingMounting box: 86mm square box or European 60mm round boxInstallation tip: For accurate readings, never install a thermostat directly above a baseboard heater, near a refrigerator or other large appliance, or where it will be in direct sunlight.Description?1. Convenient operation, fashion design2. Touch Screen display with backlight is easy to read ,even in the dark.3. Bright buttons always remind you the truely exist4. 5°C Accuracy keeps temperature within the level you set.5. No limit to add rooms and support Smart Scene.Specification:



Power Supply
AC100-240VAC 50/60HZ


Display accuracy
0.5ºC


Hysteresis
±0.5ºC (1ºC default settings )


Probe sensor
NTC (10k)1%


Power Consumption
<0.3W


Load capacity
16A/250V (electric heating)


Default Temperature  Adjustable Range
5 ºC – 35 °C  default setting.   Adjustable from1-90°C


Setting Temperature lowest limit
1-10°C


Setting Temperature highest limit
20-90°C


Output
Switch relay


Insulating condition
Normal environment


Running program
Set per 1 week as a cycle


Weekly programming selection
5+2 days, 6+1 days, 7 days. Each day has 6 programmable time period


Size(mm)
86*86*27


Installation
Wall mounted


Certificate
CE,RoHS


";2020/12/17;2022/12/08;Eiferer_ZA;;;999;999;Default Title;999;;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/Untitled_0c0072d5-afcd-401e-854d-7df124b03cbe.png?v=1608235010;;;;;;;;;;Title (Default Title);;
desk-enclosed-stand-for-ns-panel-pro;Desk enclosed stand for NS Panel Pro;"
SONOFF enclosure stand allows your NSPanel Pro or NSPanel to become a smart desktop controller. You can install your NSPanel Pro or NSPanel into it to control your devices anywhere. Even acting as a clock, thermostat, or camera monitor. Dim gray and white are optional. You'll love this helper on your desktop.";2022/11/19;2022/11/19;Sonoff;Smart Light Switch;"Doorbell
Ewelink
Smart Home
Smart Light Switch
Smart Lighting
Sonoff
Wifi
Works with Alexa
Works with Google Home
zigbee";189;189;White;189;2999;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/StandW.png?v=1668837902;Black;189;2999;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/StandB.png?v=1668837902;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/StandB.png?v=1668837902;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/StandW.png?v=1668837902;;;;;;;;;Colour (White, Black);;
nspanel-pro-smart-home-control-panel;NSPanel Pro Smart Home Control Panel;"
Overview
SONOFF NSPanel Pro is a smart home control panel. Your smart lights, switches, heaters, coollers, curtains, and all your smart devices can be controlled. An unlimited number of control devices, all in one panel.
NSPanel Pro can quickly add Zigbee devices on the screen in batches. Standard Zigbee 3.0 protocol makes the connection more stable and the coverage wider. Support all SONOFF Zigbee devices such as Zigbee Sensors, ZBMINI, and BASICZBR3.
NSPanel Pro can be used as a display, supports adding the following four types of cameras for live monitoring. Viewing the real-time monitoring of living room, garage, bedroom, etc on the panel at any time.
Power Consumption Graph, Customize Wallpaper, and Call Intercom...It will update more features and support HA, Matter in the future. NSPanel Pro will be your wonderful choice.
Package includes :
1 * NSPanel Pro1 * User Manual
Specifications :



Zigbee

IEEE 802.15.4 (Zigbee 3.0)



Wi-Fi

IEEE 802.11 b 2.4GHz



Input

100-240V AC 50/60Hz



Max Power Consumption

5W MAX; 150mA



TFT Screen Size

3.95"" (Capacitive Screen)



Screen Resolution

480 x 480



MCU

PX30



CPU

4-cores Cortex-A35



GPU

Mali-G31GPU



RAM

2GB, DDR3



ROM

8GB, eMMC 5.1



Dimension
86x86x39.5mm


Shell Materials

PC V0+CRS+Toughened Glass









";2022/11/19;2022/11/19;Sonoff;Smart Light Switch;"Doorbell
Ewelink
Smart Home
Smart Light Switch
Smart Lighting
Sonoff
Wifi
Works with Alexa
Works with Google Home
zigbee";2699;2699;White;2699;2999;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/nspanelprobW.png?v=1668837439;Black;2699;2999;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/nspanelprob.png?v=1668837439;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/nspanelprob.png?v=1668837439;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/nspanelprobW.png?v=1668837439;;;;;;;;;Colour (White, Black);;
mini-i-3200ah-in-line-ups-with-y-cable;MINI I 3200Ah IN-LINE UPS WITH Y-CABLE;"


External Supplier









FEATURES


Emergency uninterruptible power supply


High-output power (30W)


High-capacity (13200mAh) Lithium-ion battery


Provides backup power between *4 to 10 hours


Includes Y-Cable to connect to 2 devices





HIGH-OUTPUT POWER




With a total output power capacity of 30W, it is more than capable to power and run your Fibre ONT and Wi-Fi Router.
It provides backup power between 4 to 10 hours, depending on the number of devices connected.


 


PERFECT FOR LOAD SHEDDING

The Netogy UPS30 is an uninterruptible power source that supplies continuous power to network devices like modems and routers (12V DC) making it the perfect device to keep you online during load shedding or power outages.




SAFETY & SECURITY





 

The UPS30 offers a stable operating voltage and should the main power input voltage drop out of range, the UPS30 will automatically switch to battery mode to prevent damage and ensure uninterrupted and stable power to the connected electronic devices.





 
PACKAGE CONTENTS



1 x UPS30






1 x Y-Cable






1 x User Manual


EASY SETUP
 




 





STEP 1: Connect the UPS30 to an electrical
outlet with a 12V DC 2.5A *power adapter.



STEP 2: Connect your device(s) to the
UPS30 with the provided cable.














";2022/11/10;2022/11/15;NETOGY;netogy;"13200mAh
30W
load shedding
netogy
UPS";899;899;Default Title;899;899;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/netolgyups30.png?v=1668101537;;;;;;;;;;Title (Default Title);;
eachen-wifi-rgb-led-bulb-rgb-w-10w-tuya-smart-life;EACHEN WiFi RGB LED BULB RGB-W-10W (Tuya Smart Life);"WORKS WITH ALEXA & GOOGLE HOME & SIRI
The bulb is compatible with Alexa, Google Home Assistant, allow you to use voice control the bulbs, Turn on/off, to Dim,or change Colors/ Brightness of your wifi smart bulb. You can remote control wifi light bulb from anywhere with phone app once connected.

MULTIPLE COLORS & SCENE MODE
Change smart led bulb to any Color you wish, you have 16 million Colors to choose from. Easily Dim Brightness of the lights from Bright to Dark. There are also several scene options,you can switch mode freely when you are sleeping, reading or meeting.
STABLE WIFI CONNECTION & CONTROL FROM ANYWHERE
You can easily connect the bulb to 2.4Ghz wifi network, then you can control from anywhere by APP. NO hub required.

Specification:
Power: 10WVoltage: AC100-250V 50/60HzWi-Fi type: 802.11/h, only support 2.4GHzColor temperature: 2700K~6500KBrightness: 900 lmLamp interface: E26/E27Working Temp: -20 ~60 ?



Package list: Smart bulb *1User manual *1
";2020/11/26;2022/11/09;EACHEN;Smart Light;"bulb
LED
Smart Home
Smart Lighting
SmartLife
Tuya Smart Life
Wifi
Works with Alexa
Works with Google Home";299;299;Default Title;299;499;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/Bulb.png?v=1606393830;;;;;;;;;;Title (Default Title);;
sonoff-pow-r316-origan;Sonoff POW R316 Origin;"
 









 









";2022/11/04;2022/12/19;Sonoff;Smart Switch;"ewelink
POW
Power Monitoring
relay
Smart Home
Smart Switch
Sonoff
Wifi
Works with Alexa
Works with Google Home";329;329;Default Title;329;399;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/pow316.png?v=1669006915;;;;;;;;;;Title (Default Title);;
copy-of-eachen-wifi-smart-motorized-electric-curtain-set-with-rail-ewelink-app;EACHEN WiFi Smart Motorized Electric Curtain Motor (Ewelink APP);" 
This Curtain motor is used on Curtain which hides behind drapery,make your home smart and amazing! Motorized Curtain system is Widely Used in Hotel Rooms, Residential Rooms & Event Stage.
Easy Installation: Compact and light weight for simple ceiling or wall installation. Smooth and Quiet Operation: Motor uses a direct drive belt that enables quiet operation.
Home Automation Interfacing: Can be easily integrated with home automation systems.
No need to Program: Advanced electronics eliminate the need for manual limit setting. Automatic memory will slow down the curtains before it reach the limits, on each end to prevent noisy cut off.
Easy operations: Curtains can be open manually. By pulling or pushing gently, it will automatically activate motor to open or close without using remote control.
We provide various automatic curtain systems and automatic window systems. We are professional and have been working in smart home automation (particularly window & curtain treatment) for decades. Feel free to contact us for any questions.
Features :1. Multiple control methods including: remote, wall switch, smart phone, Amazon Alexa, Echo, Google Home, and other home automation systems.2. Set timers for opening and closing via smart phone app.4. Three installation choices: central, left, and right opening.5. Smart motor can remember curtain position and distance settings.6. Light touch trigger: manually pulling the curtain can trigger the motor to operate automatically.7. Manual operation available when power is off.
Package Contents: What’s in the package? 1 Motor";2022/06/22;2022/12/19;EACHEN;Curtain Motor;"Eachen
Ewelink
Smart Curtain
Smart Home
Wifi
Works with Alexa
Works with Google Home";1399;1399;Default Title;1399;1699;;;;;;;;;;;;;;;;;;;;;;;;;;;;Title (Default Title);;
400ml-wifi-smart-wooden-vase-electronic-air-humidifier;EU Plug Smart WiFi Air HumidifierEssential Oil Diffuser;"400ML Wifi Smart Wooden Vase Electronic Air Humidifier
Product name:400ML Wifi Smart Wooden Vase Electronic Air Humidifier
Wifi function: support Amazon Alexa voice control, Tmall Genie, SmartLifeCapacity: 400MLL ED: 3 (xenon lamp / lantern)Material: PP/ABSUltrasound frequency: 2.4 MHzAmount of fog: about 30-50ML/HTiming: 1H/3H/6H/ONMaximum working time: about 6-10HPower: AC 100-240V / DC24V 650MA, 14WProduct size:168mm(D)*215MM(H)Working time: 8-12 hoursWeight:600gPackaging size: 170*170*225mmPacking info: 18 pcs/carton, 54*36*71cm, 11.8KG
 

Classic Wood Grain Finish: Natural wood grain look and unique vase-shape design. Makes you feel relax with it's zen-style outlook. Decorate your room well.
400ml Large Capacity and Great Mist Output: URPOWER 400ml essential oil diffuser lasts on for a long time(6-12 hours) and has a good output of mist(30-80ml/H). It is a humidifier or a diffuser when you add essential oil in it. Fits room not larger than 15*15.
Super Quiet and Auto Shut Off: Adopted ultrasonic technology, this diffuser is extremely quiet when working. Automatic shut off when water running out, ensure the safety.
4 Timer Setting and Mist Control: 4 timer- 1H/ 3H/ 6H/ Continuous modes. Press the ""MIST"" button for 3 seconds, one beep for strong mist, two beeps for weak mist.
7 Soothing LED Light: Soft light creates a calming and romantic atmosphere. The color can be cycled through or set it to one fixed color. Each color has two light options: dim and brighter. Press the ""LIGHT"" button for 3 seconds, light turn off.
";2019/01/09;2022/12/19;Eachen;Humidifier;"Accessory
Humidifier
Humidity Sensor
Smart Home
SmartLife
Tuya/Smart Life
Wifi
Works with Alexa
Works with Google Home";699;699;Default Title;699;899;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/humid.png?v=1647925096;;;;;;;;;;Title (Default Title);;
flick-it;Flick-it;"
Increase in awareness of surrounds when approaching your property
no more flat remote batteries
Works effectively upto 40 Meters away from your gate\garage
Cost Effective
Easy to install with full backup and technical support
24 month warranty
Eliminates loss or damage to expensive remotes

About Flick-it

In our modern world our Keys are becoming clutter with different remotes
Flick-it is a patendted remote that is fitted to your car, bike or truck eliminates the need for remotes
Flick-Stores the existing codes from remotes used to open Gates, Garages (Three codes can be stored) Installation instructionshttps://www.youtube.com/watch?v=JaQM06U-7Jc

";2020/01/24;2022/11/25;Flick-It;Remote;"Accessory
Flick-it
RF433
Smart Gate Controller";399;399;Default Title;399;899;;;;;;;;;;;;;;;;;;https://cdn.shopify.com/s/files/1/0022/3418/7820/products/Flickit.png?v=1583744145;;;;;;;;;;Title (Default Title);;
